"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4203933";"";"0";"532.73";"2";"6.22";"21";"CCc1ccc(-c2cc(NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"12.50";"0.23";"0.44";"10.57";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4206071";"";"0";"479.62";"1";"5.15";"28";"COc1cc2c(OC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1";"IC50";"'='";"1870.0";"nM";"5.73";"";"";"UO_0000065";"11.94";"0.22";"0.58";"9.52";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4207526";"";"0";"466.63";"0";"4.90";"35";"CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN(C)C)cc3n2)o1";"IC50";"'='";"425.0";"nM";"6.37";"";"";"UO_0000065";"13.65";"0.26";"1.47";"10.11";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4210033";"";"0";"506.69";"2";"5.83";"37";"CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCCC4)cc3n2)o1";"IC50";"'='";"247.0";"nM";"6.61";"";"";"UO_0000065";"13.04";"0.24";"0.78";"10.49";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4217747";"";"0";"471.60";"1";"6.29";"16";"COc1cc2c(NCc3ccccc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1";"IC50";"'='";"624.0";"nM";"6.21";"";"";"UO_0000065";"13.16";"0.24";"-0.09";"10.38";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4203133";"";"0";"478.64";"1";"5.04";"41";"COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1";"IC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"14.79";"0.28";"2.04";"11.24";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL318782";"Dichlon";"0";"227.05";"0";"2.75";"17";"O=C1C(Cl)=C(Cl)C(=O)c2ccccc21";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"25.53";"0.57";"3.05";"16.98";"False";"CHEMBL3418012";"Inhibition of His6-tagged human recombinant DNMT1 expressed in insect Sf9 cells assessed as reduction in DNA methyltransferase activity using 5'-biotinylated 45-bp unmethylated or hemimethylated oligonucleotide substrates and [3H]-AdoMet by liquid scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414469";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308860";""
"CHEMBL4640870";"";"0";"458.59";"0";"2.20";"12";"O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1";"IC50";"'='";"27200.0";"nM";"4.57";"";"";"UO_0000065";"9.96";"0.21";"2.37";"5.45";"False";"CHEMBL4606698";"Inhibition of human recombinant DNMT1 expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4602737";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";""
"CHEMBL4454542";"";"0";"523.77";"2";"5.44";"12a; EML741";"COc1cc2c(cc1OCCCN1CCCC1)N=C(C1CCCCC1)CN=C2NC1CCN(C(C)C)CC1";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"10.52";"0.20";"0.07";"8.93";"False";"CHEMBL4401513";"Inhibition of N-terminal GST-tagged recombinant full length human DNMT1 (2 to 1632 residues) using poly(dI-dC)):poly(dI-dC) as substrate preincubated for 20 mins followed by [3H]-SAM and measured after 60 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4400539";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL1231795";"";"0";"509.74";"2";"5.84";"7; UNC0638";"COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1";"IC50";"'='";"107000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4401513";"Inhibition of N-terminal GST-tagged recombinant full length human DNMT1 (2 to 1632 residues) using poly(dI-dC)):poly(dI-dC) as substrate preincubated for 20 mins followed by [3H]-SAM and measured after 60 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4400539";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL2336409";"";"0";"461.53";"1";"5.65";"4, SGI-1027";"Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1";"IC50";"'='";"11220.0";"nM";"4.95";"";"";"UO_0000065";"10.73";"0.19";"-0.70";"4.20";"False";"CHEMBL2344707";"Inhibition of human DNMT1 using AdoMet and poly dI-dC after 2 hrs by radioactive assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331328";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL4282866";"";"0";"372.52";"0";"4.50";"DC_M01_7";"CCN(CC)S(=O)(=O)c1ccc(/C=C/c2nc3ccccc3s2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4275287";"Inhibition of DNMT1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270623";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4554522";"";"0";"685.83";"3";"6.26";"24c";"COc1ccc(CN2CCC(Nc3nc(Nc4ccc(NC(=O)CCCCCCC(=O)NO)cc4)nc4cc(OC)c(OC)cc34)CC2)cc1";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"7.08";"0.13";"-1.41";"3.05";"False";"CHEMBL4315171";"Inhibition of human DNMT1 using Poly(dI-dC) as substrate incubated for 1 hr in presence of [3H]-SAM by filter binding method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4311997";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL2349526";"";"0";"462.33";"0";"-0.07";"BrSAH";"Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O";"IC50";"'='";"1900.0";"nM";"5.72";"";"";"UO_0000065";"12.37";"0.29";"5.79";"3.37";"False";"CHEMBL2350641";"Inhibition of DNMT1 (unknown origin) using [3H]-SAM assessed as inhibition of dsDNA methylation after 1 hr by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346640";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"None";""
"CHEMBL2336409";"";"0";"461.53";"1";"5.65";"1, SGI-1027";"Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1";"IC50";"'='";"850.0";"nM";"6.07";"";"";"UO_0000065";"13.15";"0.24";"0.42";"5.15";"False";"CHEMBL3129170";"Inhibition of human N-terminal 600 residues-deleted DNMT1 using poly(dI-dC) as substrate in presence of AdoMet";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124813";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL3126645";"";"0";"461.53";"1";"5.65";"4";"Cc1cc(Nc2ccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)cc2)nc(N)n1";"IC50";"'='";"4110.0";"nM";"5.39";"";"";"UO_0000065";"11.67";"0.21";"-0.26";"4.57";"False";"CHEMBL3129170";"Inhibition of human N-terminal 600 residues-deleted DNMT1 using poly(dI-dC) as substrate in presence of AdoMet";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124813";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL3126649";"";"0";"461.53";"1";"5.65";"8";"Cc1cc(Nc2cccc(NC(=O)c3ccccc3Nc3ccnc4ccccc34)c2)nc(N)n1";"IC50";"'='";"38600.0";"nM";"4.41";"";"";"UO_0000065";"9.56";"0.17";"-1.24";"3.74";"False";"CHEMBL3129170";"Inhibition of human N-terminal 600 residues-deleted DNMT1 using poly(dI-dC) as substrate in presence of AdoMet";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124813";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL4205136";"";"0";"518.70";"2";"5.83";"36";"CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCC5(CC5)C4)cc3n2)o1";"IC50";"'='";"212.0";"nM";"6.67";"";"";"UO_0000065";"12.87";"0.24";"0.84";"10.59";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4209267";"";"0";"502.66";"2";"5.04";"50";"COc1cc2c(NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2";"IC50";"'='";"501.0";"nM";"6.30";"";"";"UO_0000065";"12.53";"0.23";"1.26";"10.00";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4203647";"";"0";"520.72";"2";"6.21";"14";"COc1cc2c(NCC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1";"IC50";"'='";"205.0";"nM";"6.69";"";"";"UO_0000065";"12.84";"0.24";"0.48";"10.62";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL418052";"S-ADENOSYLHOMOCYSTEINE";"0";"384.42";"1";"-1.44";"SAH";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"17.43";"0.35";"8.14";"3.67";"False";"CHEMBL4479553";"Inhibition of DNMT1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4477246";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL418052";"S-ADENOSYLHOMOCYSTEINE";"0";"384.42";"1";"-1.44";"L-SAH";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"15.86";"0.32";"7.54";"3.34";"False";"CHEMBL1036444";"Inhibition of human recombinant DNMT1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL551167";"";"0";"424.48";"1";"-0.99";"1k";"COC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1C";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"12.60";"0.25";"6.34";"3.59";"False";"CHEMBL1036444";"Inhibition of human recombinant DNMT1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL4208522";"";"0";"520.72";"2";"6.21";"15";"COc1cc2c(NC(C)(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1";"IC50";"'='";"722.0";"nM";"6.14";"";"";"UO_0000065";"11.79";"0.22";"-0.07";"9.75";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4216663";"";"0";"518.70";"2";"5.68";"24";"COc1cc2c(NCC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1";"IC50";"'='";"261.0";"nM";"6.58";"";"";"UO_0000065";"12.69";"0.24";"0.90";"10.45";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4215377";"";"0";"483.06";"1";"5.83";"31";"Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(Cl)c(OCCCN4CCCC4)cc3n2)o1";"IC50";"'='";"298.0";"nM";"6.53";"";"";"UO_0000065";"13.51";"0.26";"0.70";"12.14";"False";"CHEMBL4195563";"Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1993";"DNA (cytosine-5)-methyltransferase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190398";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
